IN_LOCAL_FUNC_SALAS_OUTRA_ESC;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_INEXISTENTE;IN_SALA_DIRETORIA;IN_LABORATORIO_INFORMATICA;IN_BANHEIRO_DENTRO_PREDIO;IN_SECRETARIA;IN_AUDITORIO;IN_LAVANDERIA;IN_EQUIP_TV;IN_EQUIP_COPIADORA;IN_EQUIP_IMPRESSORA;IN_BANDA_LARGA;IN_EDUCACAO_INDIGENA;IN_COMUM_EJA_FUND;TX_RESP_Q004_C;TX_RESP_Q015_A;TX_RESP_Q034_A;TX_RESP_Q041_C;TX_RESP_Q056_C
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.3992673992673993;0.3333333333333333;0.37185929648241206;0.41860465116279066;0.13043478260869565
0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.4065934065934066;0.0;0.407035175879397;0.13953488372093023;0.0
1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.21611721611721613;0.25;0.36180904522613067;0.2558139534883721;0.0
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.12454212454212454;0.5;0.20100502512562815;0.23255813953488372;0.08695652173913043
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.38095238095238093;0.16666666666666666;0.31155778894472363;0.3953488372093023;0.34782608695652173
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.05128205128205128;0.0;0.07035175879396985;0.20930232558139533;0.0
0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.12087912087912088;0.16666666666666666;0.18090452261306533;0.37209302325581395;0.08695652173913043
0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.2271062271062271;0.08333333333333333;0.30150753768844224;0.3023255813953488;0.08695652173913043
1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.15018315018315018;0.08333333333333333;0.10552763819095477;0.11627906976744186;0.043478260869565216
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.09157509157509157;0.0;0.10050251256281408;0.13953488372093023;0.043478260869565216
0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.3956043956043956;0.25;0.4824120603015076;0.7906976744186046;0.13043478260869565
1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.10989010989010989;0.08333333333333333;0.135678391959799;0.18604651162790697;0.08695652173913043
0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.09523809523809523;0.25;0.23115577889447236;0.4883720930232558;0.08695652173913043
0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.09157509157509157;0.16666666666666666;0.20603015075376885;0.16279069767441862;0.0
1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.12454212454212454;0.16666666666666666;0.22613065326633167;0.18604651162790697;0.0
0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.2490842490842491;0.25;0.3316582914572864;0.5116279069767442;0.0
1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.30036630036630035;0.5;0.3316582914572864;0.3023255813953488;0.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.08424908424908426;0.08333333333333333;0.11055276381909547;0.0;0.0
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.03296703296703297;0.08333333333333333;0.07035175879396985;0.09302325581395349;0.0
1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.10989010989010989;0.16666666666666666;0.14572864321608042;0.32558139534883723;0.13043478260869565
