IN_AUDITORIO;IN_PATIO_COBERTO;NU_EQUIP_IMPRESSORA;NU_EQUIP_MULTIMIDIA;IN_EJA;IN_COMUM_EJA_MEDIO;TX_RESP_Q004_C;TX_RESP_Q004_F;TX_RESP_Q004_G;TX_RESP_Q004_H;TX_RESP_Q013_C;TX_RESP_Q018_B;TX_RESP_Q019_F;TX_RESP_Q023_F;TX_RESP_Q041_C;TX_RESP_Q042_B;TX_RESP_Q042_C
0.0;0.0;0.3333333333333333;0.0625;1.0;1.0;0.08058608058608059;0.0;0.0625;0.06451612903225806;0.03773584905660377;0.15294117647058825;0.14285714285714285;0.06976744186046512;0.046511627906976744;0.09090909090909091;0.11764705882352941
0.0;1.0;0.0;0.0;1.0;1.0;0.15384615384615385;0.2558139534883721;0.375;0.29032258064516125;0.07547169811320754;0.29411764705882354;0.03571428571428571;0.046511627906976744;0.27906976744186046;0.32727272727272727;0.47058823529411764
0.0;1.0;0.0;0.0;0.0;0.0;0.054945054945054944;0.06976744186046512;0.0625;0.0967741935483871;0.018867924528301886;0.10588235294117647;0.011904761904761904;0.0;0.046511627906976744;0.16363636363636364;0.1764705882352941
0.0;1.0;0.16666666666666666;0.0625;1.0;1.0;0.08058608058608059;0.11627906976744186;0.125;0.0;0.0;0.12941176470588234;0.09523809523809523;0.046511627906976744;0.09302325581395349;0.12727272727272726;0.058823529411764705
0.0;1.0;0.0;0.0625;1.0;1.0;0.02564102564102564;0.046511627906976744;0.125;0.0967741935483871;0.0;0.08235294117647059;0.011904761904761904;0.0;0.046511627906976744;0.07272727272727272;0.11764705882352941
0.0;1.0;0.0;0.125;0.0;0.0;0.03296703296703297;0.11627906976744186;0.0625;0.12903225806451613;0.05660377358490566;0.03529411764705882;0.011904761904761904;0.023255813953488372;0.06976744186046512;0.03636363636363636;0.23529411764705882
0.0;1.0;0.6666666666666666;0.3125;1.0;1.0;0.21245421245421245;0.27906976744186046;0.0625;0.16129032258064516;0.09433962264150943;0.3058823529411765;0.16666666666666666;0.11627906976744186;0.11627906976744186;0.2545454545454545;0.23529411764705882
0.0;1.0;0.3333333333333333;0.125;0.0;0.0;0.32967032967032966;0.20930232558139533;0.25;0.12903225806451613;0.20754716981132074;0.2588235294117647;0.23809523809523808;0.37209302325581395;0.37209302325581395;0.32727272727272727;0.3529411764705882
0.0;1.0;0.3333333333333333;0.125;1.0;1.0;0.16117216117216118;0.4418604651162791;0.5625;0.22580645161290322;0.09433962264150943;0.2823529411764706;0.08333333333333333;0.06976744186046512;0.4883720930232558;0.3090909090909091;0.29411764705882354
1.0;1.0;0.0;0.125;1.0;1.0;0.05860805860805861;0.13953488372093023;0.0625;0.03225806451612903;0.03773584905660377;0.09411764705882353;0.0;0.0;0.11627906976744186;0.01818181818181818;0.058823529411764705
0.0;1.0;0.0;0.0625;1.0;1.0;0.21245421245421245;0.27906976744186046;0.1875;0.5806451612903225;0.11320754716981132;0.43529411764705883;0.21428571428571427;0.16279069767441862;0.3953488372093023;0.4909090909090909;0.5294117647058824
0.0;1.0;0.16666666666666666;0.125;1.0;1.0;0.1978021978021978;0.13953488372093023;0.125;0.0967741935483871;0.09433962264150943;0.12941176470588234;0.08333333333333333;0.09302325581395349;0.27906976744186046;0.07272727272727272;0.11764705882352941
