CO_MUNICIPIO;IN_BIBLIOTECA_SALA_LEITURA;IN_REFEITORIO;IN_EQUIP_IMPRESSORA;NU_EQUIP_COPIADORA;NU_EQUIP_FOTO;IN_MATERIAL_ESP_NAO_UTILIZA;IN_EJA;IN_PROFISSIONALIZANTE;TX_RESP_Q004_C;TX_RESP_Q004_E;TX_RESP_Q005_A;TX_RESP_Q019_F;TX_RESP_Q027_B;TX_RESP_Q036_C;TX_RESP_Q036_E;TX_RESP_Q037_D;TX_RESP_Q039_D;TX_RESP_Q042_B;TX_RESP_Q043_A
0.03975200583514038;1.0;0.0;1.0;0.2;0.07692307692307693;1.0;1.0;0.0;0.2541436464088398;0.48484848484848486;0.34782608695652173;0.16326530612244897;0.26666666666666666;0.2717391304347826;0.2777777777777778;0.36666666666666664;0.13333333333333333;0.4473684210526315;0.4444444444444444
0.04576951130562179;1.0;0.0;0.0;0.0;0.07692307692307693;1.0;1.0;0.0;0.09944751381215469;0.3181818181818182;0.21739130434782608;0.02040816326530612;0.2;0.14130434782608695;0.4722222222222222;0.21666666666666667;0.2;0.3684210526315789;0.28703703703703703
0.04576951130562179;1.0;1.0;1.0;0.4;0.07692307692307693;1.0;0.0;0.0;0.26519337016574585;0.15151515151515152;0.08695652173913043;0.12244897959183673;0.06666666666666667;0.13043478260869565;0.1111111111111111;0.11666666666666667;0.06666666666666667;0.10526315789473684;0.09259259259259259
0.05178701677607478;1.0;0.0;1.0;0.0;0.15384615384615385;1.0;0.0;0.0;0.13812154696132595;0.12121212121212122;0.0;0.24489795918367346;0.06666666666666667;0.17391304347826086;0.08333333333333333;0.1;0.06666666666666667;0.0;0.05555555555555555
0.05178701677607478;1.0;0.0;1.0;0.2;0.0;1.0;1.0;0.0;0.03867403314917127;0.10606060606060606;0.13043478260869565;0.02040816326530612;0.0;0.043478260869565216;0.25;0.05;0.0;0.15789473684210525;0.027777777777777776
0.05768295647945365;1.0;1.0;0.0;0.0;0.23076923076923078;1.0;1.0;0.0;0.2154696132596685;0.19696969696969696;0.2608695652173913;0.1020408163265306;0.0;0.10869565217391304;0.2777777777777778;0.2833333333333333;0.13333333333333333;0.3421052631578947;0.23148148148148145
0.060661317772911616;1.0;0.0;1.0;0.0;0.07692307692307693;1.0;1.0;0.0;0.3701657458563536;0.33333333333333337;0.30434782608695654;0.2040816326530612;0.13333333333333333;0.2934782608695652;0.3611111111111111;0.16666666666666666;0.2;0.10526315789473684;0.37037037037037035
0.06370046194990664;1.0;1.0;1.0;0.6000000000000001;0.15384615384615385;1.0;1.0;0.0;0.2099447513812155;0.10606060606060606;0.13043478260869565;0.061224489795918366;0.06666666666666667;0.11956521739130435;0.1111111111111111;0.13333333333333333;0.0;0.13157894736842105;0.10185185185185185
0.06370046194990664;1.0;1.0;0.0;0.2;0.07692307692307693;1.0;0.0;0.0;0.09392265193370165;0.19696969696969696;0.17391304347826086;0.061224489795918366;0.13333333333333333;0.05434782608695652;0.16666666666666666;0.11666666666666667;0.2;0.10526315789473684;0.23148148148148145
0.06370046194990664;1.0;1.0;1.0;0.2;0.07692307692307693;1.0;1.0;1.0;0.22099447513812154;0.2272727272727273;0.30434782608695654;0.061224489795918366;0.4;0.15217391304347827;0.1388888888888889;0.2833333333333333;0.06666666666666667;0.21052631578947367;0.23148148148148145
