TX_RESP_Q019_F;TX_RESP_Q004_C;IN_COMUM_FUND_AF;TX_RESP_Q038_A;TX_RESP_Q042_B;TX_RESP_Q018_B;TX_RESP_Q004_H;TX_RESP_Q013_C;TX_RESP_Q004_F;TX_RESP_Q041_C;TX_RESP_Q004_G;TX_RESP_Q042_C;TX_RESP_Q041_B;TX_RESP_Q004_E;TX_RESP_Q037_D;TX_RESP_Q043_A;TX_RESP_Q041_A;TX_RESP_Q036_C;TX_RESP_Q043_B;TX_RESP_Q015_B;TX_RESP_Q019_G;TX_RESP_Q023_G
0.12244897959183673;0.26519337016574585;0.0;0.008130081300813009;0.10526315789473684;0.08771929824561403;0.0;0.07936507936507936;0.15625;0.12;0.0;0.0;0.16964285714285712;0.15151515151515152;0.11666666666666667;0.09259259259259259;0.219435736677116;0.13043478260869565;0.20149253731343283;0.09375;0.15789473684210525;0.13333333333333336
0.24489795918367346;0.13812154696132595;0.0;0.032520325203252036;0.0;0.12280701754385964;0.0;0.047619047619047616;0.03125;0.08;0.07142857142857142;0.0;0.1607142857142857;0.12121212121212122;0.1;0.05555555555555555;0.12539184952978058;0.17391304347826086;0.12935323383084577;0.03125;0.03508771929824561;0.057142857142857155
0.02040816326530612;0.03867403314917127;0.0;0.016260162601626018;0.15789473684210525;0.07017543859649122;0.06060606060606061;0.015873015873015872;0.03125;0.12;0.14285714285714285;0.125;0.10714285714285714;0.10606060606060606;0.05;0.027777777777777776;0.04388714733542319;0.043478260869565216;0.062189054726368154;0.15625;0.15789473684210525;0.12380952380952384
0.1020408163265306;0.2154696132596685;0.0;0.0813008130081301;0.3421052631578947;0.2631578947368421;0.18181818181818182;0.031746031746031744;0.15625;0.28;0.2857142857142857;0.0625;0.29464285714285715;0.19696969696969696;0.2833333333333333;0.23148148148148145;0.15673981191222572;0.10869565217391304;0.1691542288557214;0.1875;0.10526315789473684;0.1904761904761905
0.2040816326530612;0.3701657458563536;0.0;0.0813008130081301;0.10526315789473684;0.3508771929824561;0.0;0.031746031746031744;0.03125;0.28;0.0;0.125;0.3571428571428571;0.33333333333333337;0.16666666666666666;0.37037037037037035;0.31034482758620685;0.2934782608695652;0.27114427860696516;0.1875;0.22807017543859648;0.3523809523809524
0.061224489795918366;0.2099447513812155;0.0;0.06504065040650407;0.13157894736842105;0.05263157894736842;0.0;0.015873015873015872;0.0;0.04;0.0;0.0;0.1875;0.10606060606060606;0.13333333333333333;0.10185185185185185;0.16927899686520376;0.11956521739130435;0.15422885572139303;0.125;0.10526315789473684;0.14285714285714288
0.061224489795918366;0.09392265193370165;1.0;0.10569105691056911;0.10526315789473684;0.07017543859649122;0.030303030303030304;0.0;0.09375;0.14;0.21428571428571427;0.0;0.11607142857142856;0.19696969696969696;0.11666666666666667;0.23148148148148145;0.10658307210031347;0.05434782608695652;0.062189054726368154;0.125;0.24561403508771928;0.13333333333333336
0.061224489795918366;0.22099447513812154;1.0;0.14634146341463417;0.21052631578947367;0.3157894736842105;0.0;0.07936507936507936;0.25;0.06;0.07142857142857142;0.1875;0.375;0.2272727272727273;0.2833333333333333;0.23148148148148145;0.22884012539184953;0.15217391304347827;0.22139303482587064;0.34375;0.2631578947368421;0.2285714285714286
0.0;0.07734806629834254;1.0;0.04878048780487805;0.02631578947368421;0.12280701754385964;0.0;0.031746031746031744;0.09375;0.04;0.07142857142857142;0.0;0.2232142857142857;0.18181818181818182;0.06666666666666667;0.1111111111111111;0.08463949843260188;0.07608695652173914;0.0945273631840796;0.15625;0.14035087719298245;0.1142857142857143
0.08163265306122448;0.11049723756906077;1.0;0.04065040650406505;0.05263157894736842;0.05263157894736842;0.0;0.047619047619047616;0.03125;0.02;0.0;0.0;0.05357142857142857;0.045454545454545456;0.13333333333333333;0.046296296296296294;0.07836990595611285;0.05434782608695652;0.05721393034825871;0.0625;0.10526315789473684;0.1523809523809524
0.04081632653061224;0.06629834254143646;1.0;0.04065040650406505;0.07894736842105263;0.08771929824561403;0.030303030303030304;0.0;0.125;0.04;0.14285714285714285;0.0625;0.09821428571428571;0.030303030303030304;0.08333333333333333;0.09259259259259259;0.04388714733542319;0.03260869565217391;0.03233830845771144;0.1875;0.05263157894736842;0.06666666666666668
0.04081632653061224;0.15469613259668508;1.0;0.0975609756097561;0.02631578947368421;0.14035087719298245;0.0;0.015873015873015872;0.09375;0.04;0.0;0.0;0.125;0.09090909090909091;0.2;0.18518518518518517;0.13793103448275862;0.06521739130434782;0.08955223880597014;0.3125;0.2807017543859649;0.1523809523809524
0.02040816326530612;0.03867403314917127;1.0;0.024390243902439025;0.02631578947368421;0.07017543859649122;0.0;0.0;0.03125;0.04;0.07142857142857142;0.0;0.0625;0.09090909090909091;0.06666666666666667;0.10185185185185185;0.04075235109717868;0.03260869565217391;0.017412935323383085;0.0625;0.05263157894736842;0.0761904761904762
0.6530612244897959;0.287292817679558;0.0;0.032520325203252036;0.13157894736842105;0.10526315789473684;0.0;0.2698412698412698;0.03125;0.06;0.0;0.0;0.09821428571428571;0.07575757575757576;0.08333333333333333;0.08333333333333333;0.2476489028213166;0.21739130434782608;0.19900497512437812;0.0;0.05263157894736842;0.09523809523809526
0.14285714285714285;0.3756906077348066;0.0;0.04065040650406505;0.07894736842105263;0.21052631578947367;0.0;0.14285714285714285;0.0;0.1;0.0;0.0625;0.2232142857142857;0.07575757575757576;0.13333333333333333;0.12962962962962962;0.2946708463949843;0.25;0.263681592039801;0.09375;0.12280701754385964;0.24761904761904766
0.1020408163265306;0.2099447513812155;1.0;0.1869918699186992;0.5789473684210527;0.3508771929824561;0.24242424242424243;0.047619047619047616;0.28125;0.38;0.2857142857142857;0.25;0.29464285714285715;0.3181818181818182;0.31666666666666665;0.35185185185185186;0.17868338557993732;0.17391304347826086;0.16666666666666666;0.25;0.3157894736842105;0.2285714285714286
0.24489795918367346;0.34806629834254144;0.0;0.07317073170731708;0.21052631578947367;0.17543859649122806;0.030303030303030304;0.12698412698412698;0.09375;0.3;0.0;0.125;0.2857142857142857;0.2272727272727273;0.16666666666666666;0.15740740740740738;0.2789968652037617;0.2717391304347826;0.2860696517412935;0.1875;0.2807017543859649;0.26666666666666666
0.061224489795918366;0.04419889502762431;1.0;0.0975609756097561;0.15789473684210525;0.17543859649122806;0.030303030303030304;0.0;0.15625;0.22;0.21428571428571427;0.25;0.08928571428571427;0.13636363636363635;0.16666666666666666;0.07407407407407407;0.05956112852664576;0.043478260869565216;0.06965174129353234;0.1875;0.05263157894736842;0.08571428571428572
